,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
41,BostonVZCrash,23174,BOSTON,2023,2023-08-11,2,17:06:24,,0,0,,42.320020136898094,-71.05967714984716,,2023-08-11 17:06:24,MassDOT,5350641,BOSTON,2023,2023-08-11,0,17:10:00,Local,0,0,0.0,42.32000473,-71.05979931,0,2023-08-11 17:10:00,10.170851067612695,216.0,0.910804042526711
42,MassDOT,5288215,BOSTON,2023,2023-08-19,0,04:01:00,State,0,0,0.0,42.36807647,-71.06264157,1,2023-08-19 04:01:00,BostonVZCrash,33901,BOSTON,2023,2023-08-19,2,05:00:54,,0,0,,42.36771006264756,-71.06223659648869,,2023-08-19 05:00:54,52.508884058360486,3594.0,0.3329378115914766
43,MassDOT,5359101,BOSTON,2023,2023-10-05,2,17:41:00,Local,0,1,1.0,42.31293173,-71.0574266,0,2023-10-05 17:41:00,BostonVZCrash,27088,BOSTON,2023,2023-10-05,2,18:33:12,,0,1,,42.31289521288713,-71.05774276511467,,2023-10-05 18:33:12,26.26616978001946,3132.0,0.5551368115398638
44,BostonVZCrash,29864,BOSTON,2023,2023-11-03,2,09:41:25,,0,0,,42.30414396292917,-71.08232420631086,,2023-11-03 09:41:25,MassDOT,5359563,BOSTON,2023,2023-11-03,0,10:26:00,Local,0,0,1.0,42.30412086,-71.08230931,0,2023-11-03 10:26:00,2.8410811963780813,2675.0,0.7571957649586867
45,BostonVZFatality,96,BOSTON,2023,2023-11-26,1,03:45:09,,0,1,,42.29812323243154,-71.08704845767167,,2023-11-26 03:45:09,BostonVZCrash,1314,BOSTON,2023,2023-11-26,2,03:46:02,,0,1,,42.29812323243154,-71.08704845767167,,2023-11-26 03:46:02,0.0,53.0,0.9955833333333333
46,BostonVZFatality,104,BOSTON,2023,2023-12-19,1,15:08:09,,1,0,,42.35405132476076,-71.13630238379989,,2023-12-19 15:08:09,BostonVZCrash,865,BOSTON,2023,2023-12-19,2,15:08:27,,0,1,,42.35405132476076,-71.13630238379989,,2023-12-19 15:08:27,0.0,18.0,0.9984999999999999
47,BostonVZFatality,64,BOSTON,2023,2023-12-22,1,17:26:57,,0,0,,42.27258759291704,-71.16439573510999,,2023-12-22 17:26:57,BostonVZCrash,21851,BOSTON,2023,2023-12-22,2,17:31:27,,0,0,,42.27258759291704,-71.16439573510999,,2023-12-22 17:31:27,0.0,270.0,0.9775
48,BostonVZFatality,9,BOSTON,2024,2024-01-24,1,08:19:15,,0,1,,42.33356601748208,-71.07346021786326,,2024-01-24 08:19:15,BostonVZCrash,40606,BOSTON,2024,2024-01-24,2,08:19:43,,0,1,,42.33356601748208,-71.07346021786326,,2024-01-24 08:19:43,0.0,28.0,0.9976666666666666
49,BostonVZFatality,14,BOSTON,2024,2024-04-04,1,10:30:19,,0,1,,42.35180073588021,-71.05590175753605,,2024-04-04 10:30:19,BostonVZCrash,23410,BOSTON,2024,2024-04-04,2,10:31:39,,0,1,,42.35180073588021,-71.05590175753605,,2024-04-04 10:31:39,0.0,80.0,0.9933333333333333
50,BostonVZCrash,40143,BOSTON,2024,2024-04-12,2,01:10:33,,0,0,,42.34595927761557,-71.06128023583976,,2024-04-12 01:10:33,MassDOT,5383213,BOSTON,2024,2024-04-12,0,01:15:00,State,0,0,0.0,42.34559487,-71.06132057,0,2024-04-12 01:15:00,40.58436626160871,267.0,0.693659436168739
