,source,id,muni,year,date,severity,time,police,pedestrian,cyclist,other,lat,lng,interstate,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
1446,MassDOT,5003644,BOSTON,2021,2021-08-21,2,08:10:00,State,0,0,0,42.33857561,-71.0637396,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1447,MassDOT,5003643,BOSTON,2021,2021-08-21,0,06:57:00,State,0,0,0,42.32775758,-71.05858086,0,,V1:(Collision with motor vehicle in traffic)
1448,MassDOT,5003642,BOSTON,2021,2021-08-20,0,15:47:00,State,0,0,0,42.32736835,-71.05832044,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1449,MassDOT,5003641,BOSTON,2021,2021-08-15,0,05:50:00,State,0,0,0,42.34015765,-71.06302806,0,,V1:(Collision with median barrier)
1450,MassDOT,5003640,BOSTON,2021,2021-08-13,2,18:29:00,State,0,0,0,42.32330543,-71.0549151,1,,V1:(Collision with median barrier)
1451,MassDOT,5003639,BOSTON,2021,2021-08-10,0,07:40:00,State,0,0,0,42.36254806,-71.05516528,0,,V1:(Collision with motor vehicle in traffic)
1452,MassDOT,5003638,BOSTON,2021,2021-08-09,0,18:13:00,State,0,0,0,42.35708078,-71.05143543,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1453,MassDOT,5003637,BOSTON,2021,2021-07-24,0,08:00:00,State,0,0,0,42.35954229,-71.05232814,1,,V1:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic) / V4:(Collision with motor vehicle in traffic)
1454,MassDOT,5003636,BOSTON,2021,2021-08-03,0,00:02:00,State,0,0,0,42.32739302,-71.05834416,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1455,MassDOT,5003635,BOSTON,2021,2021-07-17,0,20:20:00,State,0,0,0,42.33388175,-71.06373748,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1456,MassDOT,5003634,BOSTON,2021,2021-05-31,0,15:00:00,State,0,0,0,42.36463533,-71.0246186,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
